municipality,cords
Zonhoven,"50.991928588, 5.376635993"
Sprimont,"50.519204771, 5.666420198"
Saint-Nicolas,"50.632146331, 5.526433882"
Limbourg,"50.61133458, 5.937167751"
Havelange,"50.361179955, 5.248163419"
Beaumont,"50.229313738, 4.259225934"
Aubange,"49.574901455, 5.776974119"
Bouillon,"49.805989674, 5.083195503"
La Louvière,"50.473493943, 4.156666862"
Pecq,"50.685158392, 3.356784596"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Chièvres,"50.571182535, 3.78394067"
Bruges,"51.248878837, 3.214407515"
Kortemark,"51.024780393, 3.001779656"
La Panne,"51.080711142, 2.588304125"
Ypres,"50.854338205, 2.866468935"
Gand,"51.074461757, 3.725529268"
Erpe-Mere,"50.92151481, 3.951965754"
Grammont,"50.779641354, 3.904061574"
Grammont,"50.779641354, 3.904061574"
Maarkedal,"50.795182049, 3.641112203"
Londerzeel,"51.01057744, 4.276403502"
Olen,"51.163459887, 4.885601236"
Rijkevorsel,"51.355158826, 4.767498762"
Tervuren,"50.821621007, 4.524338265"
Kortenaken,"50.893133252, 5.023114614"
Herstappe,"50.726005215, 5.425357963"
Saint-Trond,"50.810337691, 5.202982831"
Pelt,"51.21492909, 5.427213134"
Liège,"50.631779266, 5.590470487"
Chaudfontaine,"50.581446589, 5.633738454"
Eupen,"50.609995684, 6.125507715"
Burg-Reuland,"50.203529851, 6.093014098"
Trois-Ponts,"50.356565423, 5.884296721"
Namur,"50.46044996, 4.872576802"
La Bruyère,"50.529754745, 4.809783701"
Ohey,"50.435761668, 5.166379867"
Hamois,"50.337020792, 5.139618396"
Havelange,"50.361179955, 5.248163419"
Dinant,"50.249494165, 4.943226507"
Doische,"50.144244548, 4.699038687"
Fontaine-l’Evêque,"50.407344544, 4.321806821"
Chimay,"50.040900858, 4.324269101"
Thuin,"50.324244976, 4.310791502"
Momignies,"50.002547851, 4.217491017"
Vielsalm,"50.278105831, 5.893367625"
Tenneville,"50.099708626, 5.490131652"
Rendeux,"50.219335659, 5.516063925"
Hotton,"50.267365725, 5.432789448"
Brunehaut,"50.527150313, 3.395108108"
Antoing,"50.556162077, 3.465745334"
Ath,"50.639365214, 3.772895473"
Oostkamp,"51.119345929, 3.230338378"
Knokke-Heist,"51.332531734, 3.307923524"
Bruges,"51.248878837, 3.214407515"
Vleteren,"50.913696705, 2.741574354"
Beernem,"51.150688152, 3.336672437"
Heuvelland,"50.775502208, 2.830312206"
Chiny,"49.720131394, 5.391464332"
Ath,"50.639365214, 3.772895473"
Beloeil,"50.532510697, 3.688628078"
Poperinge,"50.861020343, 2.691526901"
Maarkedal,"50.795182049, 3.641112203"
Beersel,"50.750400221, 4.30185159"
Grimbergen,"50.944676451, 4.376555185"
Lubbeek,"50.882001719, 4.828920963"
Saint-Trond,"50.810337691, 5.202982831"
Liège,"50.631779266, 5.590470487"
Modave,"50.473441847, 5.301858707"
Namur,"50.46044996, 4.872576802"
Assesse,"50.375472708, 4.993003352"
Hastière,"50.194993776, 4.825736667"
Farciennes,"50.434439362, 4.546956755"
Momignies,"50.002547851, 4.217491017"
Martelange,"49.811137421, 5.724825097"
Gouvy,"50.192576392, 5.911460771"
Chiny,"49.720131394, 5.391464332"
Herbeumont,"49.795338493, 5.309409962"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Mons,"50.452418964, 3.971936191"
Frameries,"50.389968633, 3.886214565"
Morlanwelz,"50.447513379, 4.243611519"
Tournai,"50.616213564, 3.407978295"
Péruwelz,"50.529458314, 3.563869138"
Péruwelz,"50.529458314, 3.563869138"
Ellezelles,"50.720619456, 3.699069451"
Zwalin,"50.877237498, 3.723980925"
Schaerbeek,"50.861804948, 4.386062022"
Braine-l’Alleud,"50.673333011, 4.354690133"
Genappe,"50.610166243, 4.456118695"
Asse,"50.907282344, 4.215342336"
Anvers,"51.260784962, 4.369487632"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Ravels,"51.414917241, 5.025960546"
Auderghem,"50.810183953, 4.438030396"
Forest,"50.81406028, 4.324180116"
Genappe,"50.610166243, 4.456118695"
Beersel,"50.750400221, 4.30185159"
Oud-Heverlee,"50.820023916, 4.686914871"
Tremelo,"50.999200458, 4.726784648"
Lanaken,"50.899452877, 5.644358385"
Lommel,"51.22558573, 5.302044999"
Neupré,"50.544064996, 5.488057954"
Anthisnes,"50.489408328, 5.498588906"
Crisnée,"50.710615848, 5.396832689"
Lontzen,"50.677727563, 6.012521524"
Bullange,"50.396010504, 6.31387065"
Verviers,"50.584980879, 5.866794038"
Aywaille,"50.457524566, 5.701517157"
Trois-Ponts,"50.356565423, 5.884296721"
Namur,"50.46044996, 4.872576802"
Zemst,"50.97890854, 4.458091114"
Diest,"51.001417469, 5.069106855"
Oudsbergen,"51.074932107, 5.556321231"
Maaseik,"51.087842457, 5.715196597"
Les Bons Villers,"50.527881629, 4.448179682"
Aiseau-Presles,"50.404935591, 4.57691136"
Anthisnes,"50.489408328, 5.498588906"
Geer,"50.669619424, 5.181421054"
Donceel,"50.649367642, 5.326012737"
Verlaine,"50.608802146, 5.302248483"
Bouillon,"49.805989674, 5.083195503"
Nassogne,"50.136630902, 5.35879589"
Butgenbach,"50.464526105, 6.209299079"
La Louvière,"50.473493943, 4.156666862"
Binche,"50.408694938, 4.177188061"
Amblève,"50.345566774, 6.181425506"
Péruwelz,"50.529458314, 3.563869138"
Rumes,"50.54448947, 3.319812614"
Pepinster,"50.572189162, 5.797054996"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Hastière,"50.194993776, 4.825736667"
Zedelgem,"51.126629115, 3.134318455"
Dixmude,"51.047383182, 2.854220689"
Gand,"51.074461757, 3.725529268"
Ninove,"50.826039806, 4.004807241"
Beaumont,"50.229313738, 4.259225934"
Vaux-sur-Sûre,"49.934294374, 5.60659443"
Etalle,"49.663918094, 5.608965443"
Florenville,"49.707723977, 5.275493726"
Manhay,"50.289017251, 5.662704312"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Quévy,"50.366592778, 3.95436521"
