locality,price
Aalbeke,559666.6666666666
Aalst,340686.3152173913
Aalter,557599.6
Aarschot,389636.25
Aarsele,388785.71428571426
Aartrijke,239000.0
Aartselaar,769333.3333333334
Achel,259000.0
Achet,338248.0
Achêne,384923.0
Acoz,381097.25
Adegem,452136.36363636365
Affligem,434039.9259259259
Afsnee,195000.0
Agimont,196268.0
Aische-en-Refail,272500.0
Aiseau,432527.1666666667
Aiseau-Presles,229000.0
Aisemont,524000.0
Alken,301500.0
Alle,239000.0
Alleur,303126.54545454547
Alsemberg,773333.3333333334
Alveringem,192000.0
Amay,218522.03846153847
Ambly,165666.66666666666
Amel,470000.0
Andenne,323299.8888888889
Anderlecht,305146.8253968254
Anderlues,257405.41176470587
Andrimont,224346.15384615384
Angleur,355283.3333333333
Angre,131666.66666666666
Angreau,300000.0
Anhée,417899.0
Ans,218972.72727272726
Anseremme,322800.0
Anseroeul,369000.0
Antheit,272333.3333333333
Anthisnes,322600.0
Antoing,284784.0
Antwerp,373084.8915662651
Anvaing,204800.0
Anzegem,575026.6153846154
Appels,368020.6666666667
Appelterre-Eichem,475000.0
Archennes,474500.0
Ardooie,259000.0
Arendonk,381333.3333333333
Argenteau,265000.0
Arlon,360457.6271186441
Arquennes,448723.5714285714
Arsimont,292166.6666666667
As,471000.0
Asper,797668.0
Asse,442868.13333333336
Assebroek,313166.6666666667
Assenede,595000.0
Assesse,373290.5
Astene,450457.0
Ath,264468.4210526316
Athus,325833.3333333333
Attert,317500.0
Attre,303333.3333333333
Aubange,322083.3333333333
Auby-sur-Semois,750000.0
Aulnois,314377.5
Autre-Église,440000.0
Auvelais,282999.77777777775
Avelgem,434750.0
Averbode,314166.6666666667
Avin,430000.0
Awans,260625.0
Awenne,109000.0
Awirs,274500.0
Aye,138000.0
Ayeneux,425000.0
Aywaille,272156.1379310345
Baal,699000.0
Baardegem,401500.0
Baarle-Hertog,325000.0
Baelen,365725.0
Baileux,795000.0
Bailleul,305593.6666666667
Baillonville,310000.0
Baisieux,490000.0
Baisy-Thy,863333.3333333334
Balen,351888.8888888889
Balâtre,448333.3333333333
Bande,337500.0
Barbençon,356751.0
Barchon,257666.66666666666
Baronville,455000.0
Barvaux-sur-Ourthe,942500.0
Bas-Oha,650000.0
Bas-Warneton,319900.0
Bassenge,314800.0
Bassilly,352500.0
Bastogne,316666.6666666667
Basècles,226333.33333333334
Battice,450000.0
Baudour,221194.16666666666
Baulers,500000.0
Bavegem,308225.0
Bavikhove,677008.25
Bazel,486000.0
Beaufays,385600.0
Beaumont,322555.1666666667
Beauraing,271409.0833333333
Beausaint,227000.0
Beauvechain,636875.0
Beauwelz,328426.0
Beclers,289000.0
Beerlegem,542712.0
Beernem,485000.0
Beerse,552788.8421052631
Beersel,542777.9166666666
Beert,545000.0
Beervelde,1112500.0
Beerzel,431573.1176470588
Beez,407022.0
Beffe,110000.0
Begijnendijk,452311.8
Beigem,450000.0
Bekegem,325000.0
Bekkevoort,529000.0
Belgrade,395444.44444444444
Bellecourt,346099.0
Bellefontaine,430000.0
Bellegem,230000.0
Bellevaux-Ligneuville,371800.0
Beloeil,281363.1666666667
Belsele,485508.375
Ben-Ahin,230000.0
Bende,390000.0
Berchem,332886.36363636365
Berchem-Sainte-Agathe,342737.5
Berg,599000.0
Bergilers,399000.0
Beringen,388065.8181818182
Berlaar,408583.4117647059
Berlare,445291.3846153846
Berloz,728301.5
Berneau,115000.0
Bernissart,278837.2
Bersillies-l'Abbaye,140000.0
Bertrix,346946.1538461539
Berzée,155000.0
Bettincourt,249000.0
Beuzet,299000.0
Bevel,265000.0
